,id,name,surname,birthdate,deathdate,nationality,artist,complete_name,entity_name
68,Q25138504,Shelley,Massenburg Smith,1988-08-03,,US,5M0lbkGluOPXLeFjApw8r8,,Shelley FKA DRAM
69,Q23772141,Miles,McCollum,1997-08-23,,US,6icQOAFXDZKsumw3YXyusw,Miles Parks McCollum,Lil Yachty
70,Q268284,Mike Michael,Posner,1988-02-12,,US,2KsP6tYLJlTBvSUxnwlVWa,,Mike Posner
71,Q12000501,Simen,Eriksrud,1975-11-12,,NO,5iNrZmtVMtYev5M9yoWpEq,,Simen Eriksrud
72,Q59238387,Espen,Berg,,,NO,5iNrZmtVMtYev5M9yoWpEq,,Espen Berg
73,Q966845,José,Balvin,1985-05-07,,CO,1vyhD5VmyZ7KMfW5gqLgo5,,J Balvin
74,Q14313,Pharrell,Williams,1973-04-05,,US,2RdwBSPQiwcmiDo9kixcl8,Pharrell Lanscilo Williams,Pharrell Williams
75,Q21005074,Bianca,Landrau,1991-08-16,,US,6veh5zbFpm31XsPdjBgPER,Bianca Landrau,BIA
76,Q108410092,Sky,Rompiendo,,,,51XrH5fQP2oIQynuKxSWcW,,Sky Rompiendo
77,Q36844,Robyn Rihanna,Fenty,1988-02-20,,BB,5pKCCKE2ajJHZ9KAiaK11H,Robyn Rihanna Fenty,Rihanna
78,Q18810940,Karla Camila,Cabello,1997-03-03,,CU,1l8Fu6IkuTP0U5QetQJ5Xt,Karla Camila Cabello Estrabao,Camila Cabello
79,Q22965780,Allyson Brooke,Hernández,1993-07-07,,US,1l8Fu6IkuTP0U5QetQJ5Xt,,Ally Brooke
80,Q18921974,Lauren Michelle,Jáuregui,1996-06-27,,US,1l8Fu6IkuTP0U5QetQJ5Xt,Lauren Michelle Jauregui Morgado,Lauren Jauregui
81,Q28148022,Normani Kordei,Hamilton,1996-05-31,,US,1l8Fu6IkuTP0U5QetQJ5Xt,Normani Kordei Hamilton,Normani
82,Q28065951,Dinah Jane,Hansen,1997-06-22,,US,1l8Fu6IkuTP0U5QetQJ5Xt,Dinah Jane Hansen,Dinah Jane
83,Q7859785,Tyrone William,Griffin,1982-04-13,,US,7c0XG5cIJTrrAgEC3ULPiq,Tyrone William Griffin Jr.,Ty Dolla $ign
84,Q20090091,Alessia,Caracciolo,1996-07-11,,CA,2wUjUUtkb5lvLKcGKsKqsR,Alessia Caracciolo,Alessia Cara
85,Q128799,Enrique,Martín,1971-12-24,,PR,7slfeZO9LsJbWgpkIoXBUJ,Enrique Martín Morales,Ricky Martin
86,Q27836004,Brad,Simpson,1995-07-28,,GB,7gAppWoH7pcYmphCVTXkzs,,Brad Simpson
87,Q27836012,James,McVey,1994-04-30,,,7gAppWoH7pcYmphCVTXkzs,,James McVey
88,Q27836043,Connor,Ball,1996-03-15,,,7gAppWoH7pcYmphCVTXkzs,,Connor Ball
89,Q27839463,Tristan,Evans,1994-08-15,,,7gAppWoH7pcYmphCVTXkzs,,Tristan Evans
90,Q19845354,Tom,Lagergren,1991-05-29,,NO,4YXycRbyyAE0wozTk7QMEq,Tom Stræte Lagergren,Matoma
91,Q22246459,Jonas,,1989-08-02,,,1HBjj22wzbscIZ9sEb5dyf,Guy James Robin,Jonas Blue
92,Q28071144,Rachel Agatha,Keen,1997-10-24,,GB,5KKpBU5eC2tJDzf0wmlRp2,Rachel Agatha Keen,Raye
93,Q19810390,Charles Otto Charlie,Puth,1991-12-02,,US,6VuMaDnrHyPL1p4EHjYLi7,Charles Otto Puth Jr.,Charlie Puth
94,Q83287,Selena Marie,Gómez,1992-07-22,,US,0C8ZW7ezQVs4URX5aX7Kqx,Selena Marie Gomez,Selena Gomez
95,Q27830860,Adam Aminé,Daniel,1996-04-18,,US,3Gm5F95VdRxW3mqCn8RPBJ,Adam Aminé Daniel,Aminé
96,Q15080570,Dominic Wynn,Woods,1992-06-20,,US,6d47Z08T4snK50HgTEHo5Z,Dominic Wynn Woods,Sage the Gemini
97,Q44857,John Roger,Stephens,1978-12-28,,US,5y2Xq6xcjJb2jVM54GHK3t,John Roger Stephens,John Legend
98,Q1364471,Mark,Morrison,1972-05-03,,GB,6V3F8MZrOKdT9fU686ybE9,,Mark Morrison
99,Q19361511,Willie Junior,Maxwell,1991-06-07,,US,6PXS4YHDkKvl1wkIl4V8DL,Willie Junior Maxwell II,Fetty Wap
100,Q21808729,Alan Olav,Walker,1997-08-24,,NO,7vk5e3vY1uw9plTHJAMwjN,Alan Olav Walker,Alan Walker
101,Q6171416,Zion,,1981-08-05,,PR,21451j1KhjAiaYKflxBjr1,,Zion
102,Q5972994,Gabriel Enrique,Pizarro,1980-12-10,,PR,21451j1KhjAiaYKflxBjr1,Gabriel Enrique Pizarro Pizarro,Lennox
103,Q4177928,Zara Maria,Larsson,1997-12-16,,SE,1Xylc3o4UrD53lo9CvFvVg,Zara Maria Larsson,Zara Maria Larsson
104,Q28007321,Alok,,1991-08-26,,BR,0NGAZxHanS9e0iNHpR8f2W,,Alok
105,Q30939186,Bruno,Martini,1992-10-01,,BR,5veVxxPm1vzgi6pO2iVA8L,,Bruno Martini
106,Q30938233,Zeeba,,1993-01-26,,,7qPLO2XOUaRrRxkvLZ3AEK,,Zeeba
107,Q16231940,Robin,Schulz,1987-04-28,,DE,3t5xRXzsuZmMDkQzgOX35S,Robin Alexander Schulz,Robin Schulz
108,Q8298,David Pierre,Guetta,1967-11-07,,FR,1Cs0zKBU1kc0i8ypK3B9ai,Pierre David Guetta,David Guetta
109,00fa66a8-f3b6-4b58-843a-8fcd0d04ece2,Trevor Edmund,Dahl,,,US,7DMveApC7UnC2NPfPvlHSU,Trevor Edmund Dahl,Dahl
110,8bab537c-6d29-4673-95e2-90606eeb1ce3,Kevin,Ford,,,,7DMveApC7UnC2NPfPvlHSU,,Kevin Ford
111,Q367634,Sean Michael Leonard,Anderson,1988-03-25,,US,0c173mlxpT3dSFRgMO8XPh,Sean Michael Leonard Anderson,Big Sean
112,Q191088,Joseph Adam,Jonas,1989-08-15,,US,6T5tfhQCknKG4UnH90qGnz,Joseph Adam Jonas,Joe Jonas
113,Q6113606,Jack,Lawless,1987-09-20,,US,6T5tfhQCknKG4UnH90qGnz,,Jack Lawless
114,Q24287375,Jin-joo,Lee,1987-11-15,,KR,6T5tfhQCknKG4UnH90qGnz,,JinJoo Lee
115,Q97570445,Cole,Whittle,1982-02-22,,US,6T5tfhQCknKG4UnH90qGnz,,Cole Whittle
116,Q965888,Carlos,Vives,1960-08-07,,CO,4vhNDa5ycK0ST968ek7kRr,Carlos Alberto Vives Restrepo,Carlos Vives
117,Q27807517,John Paul,Cooper,1983-11-01,,GB,4kYGAK2zu9EAomwj3hXkXy,John Paul Cooper,JP Cooper
118,Q23091498,Sidney,Royel Selby III,1997-05-03,,US,7pFeBzX627ff0VnN6bxPR4,Sidney Royel Selby III,Desiigner
119,Q26703294,Victor,Rådström,1991-12-28,,SE,5H6xmHXjsq98NLbEjuE29f,Victor Rådström,Neiked
120,Q12573027,Oladayo,Olatunji,1992-03-04,,GB,4H1PNuHElBLVok0lnYMrRb,Oladayo Olatunji,Dyo
121,Q204018,Jermaine Lamarr,Cole,1985-01-28,,US,6l3HvQ5sa6mXTsMTB19rO5,Jermaine Lamarr Cole,J Cole
122,Q272591,Ramón Luis,Ayala,1977-02-03,,PR,4VMYDCV2IEDYJArk749S6m,Ramón Luis Ayala Rodríguez,Daddy Yankee
123,Q22279445,Nyla,,1983-11-27,,JM,4VZY0nxYMSNotbS7WjNVQy,,Nyla
124,Q5509984,Fuse,ODG,1988-12-02,,GB,374sWpAJsbZckf98df2jJJ,,Fuse ODG
125,Q17478270,Sebastián,Obando,1994-10-15,,CO,07YUOmWljBTXwIseAUd9TW,Sebastian Obando Giraldo,Sebastián Yatra
126,Q25095399,Shéyaa Bin,Abraham Joseph,1992-10-22,,GB,1URnnhqYAYcrqrcwql10ft,Shéyaa Bin Abraham-Joseph,21 Savage
127,Q16235273,Leland Tyler,Wayne,1993-09-16,,US,0iEtIxbK0KxaSlF7G42ZOp,Leland Tyler Wayne,Metro Boomin
128,Q3445057,Nayvadius DeMun,Wilburn,1983-11-20,,US,1RyvyyTE3xzB2ZywiAwp0i,Nayvadius DeMun Wilburn,Future
129,Q23215,Adele Laurie Blue,Adkins,1988-05-05,,GB,4dpARuHxo51G3z768sgnrY,Adele Laurie Blue Adkins,Adele
130,Q55859289,Zay,Hilfigerrr,,,,7nKeLE1toRtW4M279iS26h,,Zay Hilfigerrr
131,Q55859293,Zayion,McCall,,,,7nKeLE1toRtW4M279iS26h,,Zayion McCall
132,Q55859289,Zay,Hilfigerrr,,,,5AsWcQXw4RJFRWBbwa0ti0,,Zay Hilfigerrr
133,Q55859293,Zayion,McCall,,,,5AsWcQXw4RJFRWBbwa0ti0,,Zayion McCall
134,Q47122,Enrique Miguel,Iglesias,1975-05-08,,ES,7qG3b048QCHVRO5Pv1T5lw,Enrique Miguel Iglesias Preysler,Enrique Iglesias
135,Q6168030,Juan Luis,Morera Luna,1978-12-19,,PR,3E6xrwgnVfYCrCs0ePERDz,Juan Luis Morera Luna,Wisin
136,Q712860,Christopher Anthony John,Martin,1977-03-02,,GB,4gzpq5DPGxSnKTe4SA8HAU,,Chris Martin
137,Q822029,Jonathan Mark,Buckland,1977-09-11,,GB,4gzpq5DPGxSnKTe4SA8HAU,Jonathan Mark Buckland,Jonny Buckland
138,Q601617,Guy Rupert,Berryman,1978-04-12,,GB,4gzpq5DPGxSnKTe4SA8HAU,Guy Rupert Berryman,Guy Berryman
139,Q822036,William Elan,Champion,1978-07-31,,GB,4gzpq5DPGxSnKTe4SA8HAU,,Will Champion
140,Q2060318,Phil,Harvey,1976-08-29,,GB,4gzpq5DPGxSnKTe4SA8HAU,,Phil Harvey
141,Q23978226,Garrett,Charles Nash,1993-06-16,,US,3iri9nBFs9e4wN7PLIetAw,Garrett Charles Nash,Gnash
142,Q23978275,Olivia Gail,O'Brien,1999-11-26,,US,1QRj3hoop9Mv5VvHQkwPEp,Olivia Gail O'Brien,Olivia O'Brien
143,Q15615,Dwayne Michael,Carter,1982-09-27,,US,55Aa2cqylxrFIXC767Z865,Dwayne Michael Carter Jr.,Lil Wayne
144,Q117139,Wiz Cameron Jibril,Khalifa Thomaz,1987-09-08,,US,137W8MRPWKqSmrBGDBFSop,Cameron Jibril Thomaz,Wiz Khalifa
145,Q5214275,Daniel,Reynolds,1987-07-14,,US,53XhwfbYqKCa1cC15pYq2q,,Dan Reynolds
146,Q17403213,Daniel Wayne,Sermon,1984-06-15,,US,53XhwfbYqKCa1cC15pYq2q,,Daniel Wayne Sermón
147,Q18637722,Benjamin Arthur,McKee,1985-04-07,,US,53XhwfbYqKCa1cC15pYq2q,Benjamin Arthur McKee,Ben McKee
148,Q18719116,Daniel James,Platzman,1986-09-28,,US,53XhwfbYqKCa1cC15pYq2q,Daniel James Platzman,Daniel Platzman
149,Q107370454,Sam Nelson,Harris,1988-09-26,,US,3NPpFNZtSTHheNBaWC82rB,,Sam Harris
150,Q107370536,Casey,Harris,1987,,US,3NPpFNZtSTHheNBaWC82rB,,Casey Harris
151,Q107370879,Noah,Feldshuh,,,US,3NPpFNZtSTHheNBaWC82rB,,Noah Feldshuh
152,Q107370898,Adam,Levin,,,US,3NPpFNZtSTHheNBaWC82rB,,Adam Levin
153,Q6667429,Sir Robert Bryson,Hall,1990-01-22,,US,4xRYI6VqpkE3UwrDrAZL8L,Sir Robert Bryson Hall II,Logic
154,Q21039224,Martin,Jensen,1991-09-29,,DK,4ehtJnVumNf6xzSCDk8aLB,,Martin Jensen
155,Q27443345,Jaylen,Robinson,1995-01-25,,US,2hWs22BmQkK4czFtDLnar2,,Rob Stone
156,cbf9887f-222b-4154-aaac-a80363320a3c,J.,Davi$,,,,1rs3y69kDwkIdGJcOYngQt,,J. Davi$
157,810a70e4-c9a9-4dab-bd66-11171afe7141,Hypno,,,,,5ewJHfiGNQJjmKHzLjcojz,,Hypno
158,d70d05a6-a679-4e2f-a696-63d18be169c9,Booka,T,,,,5ewJHfiGNQJjmKHzLjcojz,,Booka T
159,4db91bd9-6d2f-4728-b23b-f574fb5a2ab5,Water,Water,,,,5ewJHfiGNQJjmKHzLjcojz,,Water Water
160,2bc9e425-5a95-45bc-bb0e-ebaace08c330,Ming,Xia,,,US,5ewJHfiGNQJjmKHzLjcojz,,Ming Xia
161,Q28373399,Gabriel,Paixão Soares,1998,,BR,3Nipsl6GVwwGyeAk0J29C6,Gabriel Paixão Soares,MC G15
162,Q27031728,Mike,Perry,1983-06-24,,SE,6lB8vOoI4DRrrVxXwuV19c,,Mike Perry
163,Q30331222,Sara Fanny Christina,Hjellström,1993-11-05,,SE,7eCmccnRwPmRnWPw61x6jM,Sara Fanny Christina Hjellström,Shy Martin
164,Q26834366,Rory Charles,Graham,1985-01-29,,GB,4f9iBmdUOhQWeP7dcAn1pf,Rory Charles Graham,Rag'n'Bone Man
165,ea2f7e1a-0a35-4f7b-9494-7d09e93ba086,Chase,Duddy,,,,6ioOEWNNGK40H8xrGj6XPW,,Chase Duddy
166,38552e12-3a85-4a1f-bec9-b8963263d5d1,Paige,Duddy,,,,6ioOEWNNGK40H8xrGj6XPW,,Paige Duddy
167,Q15125833,Lukas,Forchhammer,1988-09-18,,DK,25u4wHJWxCA9vO0CzxAbK7,,Lukas Forchhammer
168,Q16324115,Mark,Falgren,1988-03-14,,DK,25u4wHJWxCA9vO0CzxAbK7,,Mark Falgren
169,Q99730956,Magnus,Larsson,,,DK,25u4wHJWxCA9vO0CzxAbK7,,Magnus Larsson
170,Q108604119,Kasper,Daugaard,,,DK,25u4wHJWxCA9vO0CzxAbK7,,Kasper Daugaard
171,Q23826199,Valentin,Brunel,1996-12-17,,FR,7keGfmQR4X5w0two1xKZ7d,Valentin Brunel,KUNGS
172,d58bd6e5-3f09-4f7d-b2c8-3cd626d05b02,Lance,Ferguson,,,NZ,726MxZBpkxnnoKl6aN7mmj,,Lance Ferguson
173,a18e41f0-afdc-4a3a-b4dc-e3bd278c90fc,Ivan,Khatchoyan,,,AU,726MxZBpkxnnoKl6aN7mmj,,Ivan Khatchoyan
174,aeac89c0-8029-45f1-8dee-2b7e3ac64fac,Jake Edward,Mason,,,AU,726MxZBpkxnnoKl6aN7mmj,Jake Edward Mason,Jake Mason
175,Q27458833,Young,M.A,1992-04-03,,US,7LvoDJUNGnOrPdGRzVtOJ9,,Young M.A
176,Q3930275,Magnus,August Høiberg,1987-11-29,,NO,2LZDXcxJWgsJfKXZv9a5eG,Magnus August Høiberg,Cashmere Cat
177,Q18353558,Daystar,Peterson,1992-07-27,,CA,2jku7tDXc6XoB6MO2hFuqg,Daystar Shemuel Shua Peterson,Tory Lanez
178,Q54868,Noah Lindsey,Cyrus,2000-01-08,,US,55fhWPvDiMpLnE4ZzNXZyW,Noah Lindsey Cyrus,Noah Cyrus
179,Q48959,Timothy Lee,McKenzie,1989-01-04,,GB,2feDdbD5araYcm6JhFHHw7,Timothy Lee McKenzie,Labrinth
180,Q20676255,Luke,Christopher,1993-05-08,,US,787bCXOIvGeBw0Bc4kEjhD,,Luke Christopher
181,Q12470060,Johnathan Chancellor,Bennett,1993-04-16,,US,1anyVhU62p31KFi8MEzkbf,Chancellor Johnathan Bennett,Chance the Rapper
182,Q129668,Tauheed,Epps,1977-09-12,,US,17lzZA2AlOHwCwFALHttmp,Tauheed Epps,2 Chainz
183,Q19750811,Leigh-Anne,Pinnock,1991-10-04,,GB,3e7awlrlDSwF3iM0WBjGMp,Leigh-Anne Pinnock,Leigh-Anne Pinnock
184,Q16126719,Perrie Louise,Edwards,1993-07-10,,GB,3e7awlrlDSwF3iM0WBjGMp,Perrie Louise Edwards,Perrie Edwards
185,Q19750540,Jade Amelia,Thirlwall,1992-12-26,,GB,3e7awlrlDSwF3iM0WBjGMp,Jade Amelia Thirlwall,Jade Thirlwall
186,Q25939080,Jessica Louise,Nelson,1991-06-14,,GB,3e7awlrlDSwF3iM0WBjGMp,,Jesy Nelson
187,Q16727521,Bipolar,Sunshine,1984-01-13,,GB,0CjWKoS55T7DOt0HJuwF1H,,Bipolar Sunshine
188,Q28739901,Juan Carlos,Ozuná,1992-03-13,,PR,1i8SpTcr7yvPOmcqrbnVXY,Juan Carlos Ozuna Rosado,Ozuna
189,Q15637814,Jeffery Lamar,Williams,1991-08-16,,US,50co4Is1HCEo8bhOyUWKpn,Jeffery Lamar Williams,Young Thug
190,Q13605596,Jacques,Webster,1991-04-30,,US,0Y5tJX1MQlPlqiwlOH1tJY,Jacques Bermon Webster II,Travis Scott
191,Q28606665,Kyle Thomas,Harvey,1993-05-18,,US,4qBgvVog0wzW75IQ48mU7v,Kyle Thomas Harvey,Kyle
192,Q44855,Jackie,Jackson,1951-05-04,,US,2iE18Oxc8YSumAU232n4rW,,Jackie Jackson
193,Q336222,Tito,Jackson,1953-10-15,,US,2iE18Oxc8YSumAU232n4rW,,Tito Jackson
194,Q317784,Jermaine,Jackson,1954-12-11,,US,2iE18Oxc8YSumAU232n4rW,Jermaine La Jaune Jackson,Jermaine Jackson
195,Q319392,Marlon David,Jackson,1957-03-12,,US,2iE18Oxc8YSumAU232n4rW,Marlon David Jackson,Marlon Jackson
196,Q2831,Michael Joseph,Jackson,1958-08-29,2009-06-25,US,2iE18Oxc8YSumAU232n4rW,Michael Joseph Jackson,Michael Jackson
197,Q1239933,Donald,Glover,1983-09-25,,US,73sIBHcqh3Z3NyqHKZ7FOL,,Donald Glover
198,Q2831,Michael Joseph,Jackson,1958-08-29,2009-06-25,US,3fMbdgg4jU18AjLCKBhRSm,Michael Joseph Jackson,Michael Jackson
199,Q189758,Marvin Pentz,Gay,1939-04-02,1984-04-01,US,3koiLjNrgRTNbOwViDipeA,"Marvin Pentz Gay, Jr.",Marvin Gaye
200,Q260918,,Terrell,1945-04-29,1970-03-16,US,75jNCko3SnEMI5gwGqrbb8,Thomasina Winifred Montgomery,Tammi Terrell
201,91c7a4d5-97b5-4f3c-945c-0cd5a0d2ee31,Cubbie,Fink,1983-10-02,,,7gP3bB2nilZXLfPHJhMdvc,,Cubbie Fink
202,02b16a7f-0e8b-4df8-807c-aa40bae1d590,Mark,Foster,1984-02-29,,US,7gP3bB2nilZXLfPHJhMdvc,,Mark Foster
203,7936fffc-8acf-4ee7-91d1-eaa3df92e381,Mark,Pontius,,,,7gP3bB2nilZXLfPHJhMdvc,,Mark Pontius
204,9be25150-17ae-4452-90d9-1f34add2d257,Sean,Cimino,,,,7gP3bB2nilZXLfPHJhMdvc,,Sean Cimino
